age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,contacted_before,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribed
37,management,married,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
36,blue-collar,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
57,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
56,admin.,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
40,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
41,services,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
45,technician,married,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,admin.,married,university.degree,no,no,yes,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
50,admin.,married,basic.6y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
56,retired,married,basic.4y,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,1
37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
41,technician,married,professional.course,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
35,blue-collar,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
52,management,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
39,management,divorced,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
39,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
56,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
34,services,married,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,1
43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
56,management,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
39,management,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
38,admin.,divorced,high.school,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
35,admin.,single,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
51,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
60,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
56,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
39,services,divorced,high.school,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
56,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
40,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
51,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
51,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
43,technician,single,professional.course,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
59,services,married,high.school,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
24,management,single,university.degree,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
37,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,3,0,0,nonexistent,3.0,3,2,3,2,0
39,services,divorced,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
38,services,married,high.school,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
56,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
40,blue-collar,married,unknown,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
54,management,divorced,university.degree,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
43,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
36,services,married,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
45,technician,married,university.degree,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,admin.,single,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
43,services,married,high.school,no,no,no,telephone,may,mon,3,0,0,nonexistent,3.0,3,2,3,2,0
46,management,married,basic.9y,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
44,services,married,high.school,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
51,admin.,single,basic.6y,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
28,services,married,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
34,technician,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
46,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,1
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,3,0,0,nonexistent,3.0,3,2,3,2,0
54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
57,management,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
51,technician,married,basic.6y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
54,retired,married,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
34,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
41,technician,married,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
38,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
45,management,divorced,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
42,technician,married,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
34,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
48,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
34,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
40,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
43,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
33,services,married,high.school,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
32,services,single,basic.6y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
43,admin.,married,unknown,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
35,student,single,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
35,student,single,university.degree,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
35,unemployed,married,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
36,services,single,basic.4y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
35,student,single,university.degree,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
36,student,single,basic.9y,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
59,admin.,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
57,retired,married,unknown,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
39,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
39,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
30,blue-collar,single,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
30,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
50,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
40,services,married,high.school,no,no,no,telephone,may,mon,3,0,0,nonexistent,3.0,3,2,3,2,0
35,admin.,married,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
43,technician,married,unknown,unknown,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
36,services,single,basic.6y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
46,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
40,technician,married,basic.9y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
58,retired,married,university.degree,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
42,technician,married,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
35,admin.,single,university.degree,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
43,retired,married,basic.4y,unknown,no,no,telephone,may,mon,3,0,0,nonexistent,3.0,3,2,3,2,0
45,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
39,admin.,married,professional.course,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
50,services,divorced,professional.course,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
32,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
39,admin.,married,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
52,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
44,admin.,married,professional.course,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
56,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
48,admin.,married,high.school,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
33,services,married,high.school,unknown,no,yes,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
43,management,married,university.degree,unknown,no,yes,telephone,may,mon,3,0,0,nonexistent,3.0,3,2,3,2,0
57,retired,married,high.school,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
36,technician,single,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
34,management,married,university.degree,no,yes,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
34,services,single,basic.9y,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
30,technician,married,university.degree,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
33,services,divorced,unknown,no,no,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
32,technician,single,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,3.0,3,2,3,2,0
36,technician,single,high.school,no,yes,no,telephone,may,mon,2,0,0,nonexistent,3.0,3,2,3,2,0
